slug;city;region;city_prepositional;title;description;hero_intro;status
semiluki;Семилуки;Воронежская область;Семилуках;Системы безопасности в Семилуках | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Семилуках для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Семилуках. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
isilkul;Исилькуль;Омская область;Исилькуле;Системы безопасности в Исилькуле | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Исилькуле для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Исилькуле. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
ozery;Озёры;Московская область;Озёрах;Системы безопасности в Озёрах | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Озёрах для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Озёрах. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
buy;Буй;Костромская область;Буе;Системы безопасности в Буе | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Буе для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Буе. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
kurchaloy;Курчалой;Чеченская Республика;Курчалое;Системы безопасности в Курчалое | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Курчалое для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Курчалое. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
zavodoukovsk;Заводоуковск;Тюменская область;Заводоуковске;Системы безопасности в Заводоуковске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Заводоуковске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Заводоуковске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
atkarsk;Аткарск;Саратовская область;Аткарске;Системы безопасности в Аткарске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Аткарске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Аткарске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
asino;Асино;Томская область;Асине;Системы безопасности в Асине | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Асине для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Асине. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
kireevsk;Киреевск;Тульская область;Киреевске;Системы безопасности в Киреевске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Киреевске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Киреевске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
bogorodsk;Богородск;Нижегородская область;Богородске;Системы безопасности в Богородске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Богородске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Богородске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
tayga;Тайга;Кемеровская область;Тайге;Системы безопасности в Тайге | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Тайге для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Тайге. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
nevyansk;Невьянск;Свердловская область;Невьянске;Системы безопасности в Невьянске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Невьянске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Невьянске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
saki;Саки;Республика Крым;Саках;Системы безопасности в Саках | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Саках для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Саках. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
pavlovsk;Павловск;Воронежская область;Павловске;Системы безопасности в Павловске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Павловске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Павловске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
zeya;Зея;Амурская область;Зее;Системы безопасности в Зее | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Зее для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Зее. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
kotelnich;Котельнич;Кировская область;Котельниче;Системы безопасности в Котельниче | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Котельниче для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Котельниче. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
krasnouralsk;Красноуральск;Свердловская область;Красноуральске;Системы безопасности в Красноуральске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Красноуральске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Красноуральске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
lensk;Ленск;Республика Саха (Якутия);Ленске;Системы безопасности в Ленске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Ленске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Ленске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
gurevsk;Гурьевск;[уточнить регион];Гурьевске;Системы безопасности в Гурьевске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Гурьевске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Гурьевске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
zaraysk;Зарайск;Московская область;Зарайске;Системы безопасности в Зарайске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Зарайске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Зарайске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
bezheck;Бежецк;Тверская область;Бежецке;Системы безопасности в Бежецке | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Бежецке для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Бежецке. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
zheleznovodsk;Железноводск;Ставропольский край;Железноводске;Системы безопасности в Железноводске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Железноводске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Железноводске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
semenov;Семёнов;Нижегородская область;Семёнове;Системы безопасности в Семёнове | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Семёнове для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Семёнове. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
kolpashevo;Колпашево;Томская область;Колпашеве;Системы безопасности в Колпашеве | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Колпашеве для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Колпашеве. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
kotovo;Котово;Волгоградская область;Котово;Системы безопасности в Котово | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Котово для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Котово. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
davlekanovo;Давлеканово;Республика Башкортостан;Давлеканове;Системы безопасности в Давлеканове | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Давлеканове для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Давлеканове. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
kalachinsk;Калачинск;Омская область;Калачинске;Системы безопасности в Калачинске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Калачинске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Калачинске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
stroitel;Строитель;Белгородская область;Строителе;Системы безопасности в Строителе | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Строителе для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Строителе. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
velsk;Вельск;Архангельская область;Вельске;Системы безопасности в Вельске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Вельске для коммерческих и жилых объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Вельске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
semikarakorsk;Семикаракорск;Ростовская область;Семикаракорске;Системы безопасности в Семикаракорске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Семикаракорске для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Семикаракорске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
otradnoe;Отрадное;Ленинградская область;Отрадном;Системы безопасности в Отрадном | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Отрадном для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Отрадном. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
karachaevsk;Карачаевск;Карачаево-Черкесская Республика;Карачаевске;Системы безопасности в Карачаевске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Карачаевске для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Карачаевске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
fokino;Фокино;[уточнить регион];Фокино;Системы безопасности в Фокино | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Фокино для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Фокино. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
severobaykalsk;Северобайкальск;Республика Бурятия;Северобайкальске;Системы безопасности в Северобайкальске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Северобайкальске для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Северобайкальске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
sharya;Шарья;Костромская область;Шарье;Системы безопасности в Шарье | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Шарье для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Шарье. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
omutninsk;Омутнинск;Кировская область;Омутнинске;Системы безопасности в Омутнинске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Омутнинске для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Омутнинске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
ust-katav;Усть-Катав;Челябинская область;Усть-Катаве;Системы безопасности в Усть-Катаве | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Усть-Катаве для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Усть-Катаве. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
bologoe;Бологое;Тверская область;Бологом;Системы безопасности в Бологом | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Бологом для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Бологом. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
volokolamsk;Волоколамск;Московская область;Волоколамске;Системы безопасности в Волоколамске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Волоколамске для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Волоколамске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
gubkinskiy;Губкинский;Ямало-Ненецкий автономный округ;Губкинском;Системы безопасности в Губкинском | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Губкинском для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Губкинском. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
gusinoozersk;Гусиноозёрск;Республика Бурятия;Гусиноозёрске;Системы безопасности в Гусиноозёрске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Гусиноозёрске для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Гусиноозёрске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
tashtagol;Таштагол;Кемеровская область;Таштаголе;Системы безопасности в Таштаголе | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Таштаголе для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Таштаголе. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
olenegorsk;Оленегорск;Мурманская область;Оленегорске;Системы безопасности в Оленегорске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Оленегорске для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Оленегорске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
oha;Оха;Сахалинская область;Охе;Системы безопасности в Охе | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Охе для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Охе. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
kubinka;Кубинка;Московская область;Кубинке;Системы безопасности в Кубинке | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Кубинке для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Кубинке. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
vilyuchinsk;Вилючинск;Камчатский край;Вилючинске;Системы безопасности в Вилючинске | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Вилючинске для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Вилючинске. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
nelidovo;Нелидово;Тверская область;Нелидово;Системы безопасности в Нелидово | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Нелидово для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Нелидово. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
nerehta;Нерехта;Костромская область;Нерехте;Системы безопасности в Нерехте | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Нерехте для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Нерехте. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
nikolaevsk-na-amure;Николаевск-на-Амуре;Хабаровский край;Николаевске-на-Амуре;Системы безопасности в Николаевске-на-Амуре | Прометей01;Прометей01 выполняет видеонаблюдение, СКУД, слаботочные сети, электромонтаж, пожарную сигнализацию, огнезащиту и ПНР в Николаевске-на-Амуре для разных объектов.;"Прометей01 выполняет работы по видеонаблюдению, СКУД, пожарной сигнализации, электромонтажу и слаботочным системам в Николаевске-на-Амуре. Формат работ зависит от типа объекта; при подготовке учитываются монтаж, настройка, обслуживание и передача документации.";draft
